Date,Open,High,Low,Close,Volume
01-08-16,235.5,236.630005,208.649994,212.009995,62291100
01-09-16,209.009995,211.100006,193.449997,204.029999,70631900
01-10-16,212.300003,215.669998,192,197.729996,92132800
01-11-16,198.039993,199.350006,178.190002,189.399994,98865700
01-12-16,188.25,223.800003,180,213.690002,87985800
01-01-17,214.860001,258.459991,210.960007,251.929993,100679600
01-02-17,253.050003,287.390015,242.009995,249.990005,119540000
01-03-17,254.179993,282,242.779999,278.299988,107035300
01-04-17,286.899994,314.799988,284.579987,314.070007,116950600
01-05-17,314.880005,342.890015,290.76001,341.01001,148007800
01-06-17,344,386.98999,334.209991,361.609985,185930900
01-07-17,370.23999,371.350006,303.130005,327.220001,82130000
